B1	B2	B3
20227	5788	abaddhaka
29926	8609	abaddhaka
3005	852	abaddhamUla
28033	8049	AbAdh
757	207	abadha
6998	1996	AbAdha
6290	1787	abaliman
24047	6866	abAliza
23305	6659	Abalya
13979	3996	Abalya
10323	2937	AbAlyam
14140	4044	Abandh
6045	1716	abandhukRt
25109	7188	abandhya
30119	8667	abbhakSaNa
26129	7490	abdazata
32330	9297	Abhaga
14919	4265	AbhaGgin
31635	9099	abhagnakAma
5065	1435	abhaktacchanda
18122	5188	AbhaNDana
14785	4226	Abhara
7050	2013	abhartRkA
13266	3790	AbhAS
12123	3465	AbhAsatA
7713	2210	AbhASita
18781	5379	AbhASita
12015	3434	AbhAta
27225	7819	abhAvanA
30039	8639	abhAvanA
15548	4456	abhAvanIya
26719	7667	abhavanmatayoga
564	150	abhAvin
19103	5470	abhayada
21650	6186	abhayajAta
6000	1703	abhayaMkara
19748	5649	abhayapattra
16831	4813	abhayavAc
8083	2313	abhedaka
32305	9290	abhedyatA
2783	787	abhibhASita
24991	7150	abhibhava
29637	8516	abhibhUti
33764	9707	abhibhUtyojas
11167	3187	abhibhUtyojas
26039	7467	abhibhUya
18455	5288	abhicaidyam
9200	2614	abhicara
9038	2572	abhicArakalpa
1473	407	abhicAraNIya
27552	7909	abhicArayajJa
26046	7468	abhicArin
19443	5562	abhiceSTA
14202	4064	abhidah
7984	2288	abhidah
28604	8212	abhidah
16114	4618	abhidhAdhvaMsin
10544	3008	abhidhAmUla
28085	8062	abhidhAnacintAmaNi
8591	2449	abhidhAnaratnamAlA
21927	6265	abhidhAnaratnamAlA
32993	9486	abhidhAnI
8583	2448	AbhidhAnika
18519	5306	AbhidhAnika
17437	4993	abhidhAnIya
20180	5775	abhidhAtavya
16290	4668	abhidhRSNu
22068	6306	abhidhyA
21245	6076	abhidhyAyin
25787	7385	abhidI
34672	9975	abhidIp
31258	8995	abhidohya
10018	2846	abhidohya
26218	7515	abhidoSam
2577	726	abhidruhyamANa
8896	2530	abhidu
8494	2424	abhiduh
11153	3183	abhiduh
5028	1423	abhigacchat
33970	9768	abhigarjita
11590	3297	abhighAraNa
33398	9597	abhighArita
12667	3619	abhighArya
559	149	abhighR
626	165	abhighRta
7453	2129	abhigraha
7645	2190	abhigRhItapANi
33769	9708	abhigupta
1529	424	abhihasya
1685	468	abhihati
21684	6196	abhijap
25780	7384	abhijAtatA
17393	4977	abhijita
9209	2617	abhijJA
33622	9663	abhijJatA
23561	6730	abhijJAyam
31268	8999	abhijJetara
28859	8290	abhijuSTa
21147	6047	abhikAGkSin
16563	4741	abhikam
678	182	abhikhan
25222	7225	abhikhyA
19862	5678	abhiklRp
11224	3201	abhiklRp
29880	8592	abhiknUyam
19415	5552	abhikrAnti
27043	7762	abhikRR
15198	4345	AbhIkSNya
11693	3333	AbhIkSNya
3790	1075	abhilabh
14319	4095	abhilASin
18002	5149	abhilASuka
1610	449	abhilAva
18925	5417	abhilekhana
28343	8141	abhilikh
22494	6432	abhilIna
34319	9870	abhimAnatA
17815	5100	abhimAnavat
8538	2435	abhimAnazAlin
3721	1056	abhimAnazUnya
7508	2146	abhimand
8139	2325	abhimAnin
139	36	abhimantavya
14350	4104	abhimantr
5618	1599	abhimara
23467	6702	abhimarSaka
16136	4624	abhimArutam
418	107	abhimarzaka
28424	8161	abhImodamud
31631	9097	abhimrakS
17705	5071	abhimRSTa
17500	5011	abhimRz
13014	3713	abhimuh
9386	2666	abhimukhIkR
19518	5580	AbhimukhyakaraNa
13861	3965	AbhimukhyakaraNa
6943	1981	abhimuni
16956	4852	abhinamra
16839	4815	abhinand
18453	5288	abhinAsikAvivaram
7913	2269	abhinavagupta
145	39	abhinavayauvana
12295	3514	abhinigad
13701	3916	abhinihan
10986	3132	abhiniHsRj
1489	412	abhinIla
8125	2322	abhinimlocana
8761	2491	abhinimroka
29200	8388	abhininartam
10327	2939	abhinipAta
781	213	abhinipID
28664	8234	abhinirvRtta
15830	4540	abhinirvRtta
24246	6924	abhiniSkram
25487	7295	abhiniSyanda
12940	3690	abhiniveza
23497	6711	abhinizcikramiSA
18756	5370	abhinnakAla
15599	4470	abhIpa
34215	9843	abhipadma
25800	7388	abhipadma
2083	585	abhipale
16028	4593	abhipare
21850	6245	abhiparIta
15135	4329	abhipracakS
31358	9022	abhipracakS
16915	4840	abhipracyu
4388	1237	abhipradarzana
13357	3818	abhipradru
3678	1046	abhiprahA
9795	2782	abhipramur
25328	7255	abhipramur
17195	4916	abhipraNam
28935	8311	abhipraNaya
13175	3762	abhiprapanna
29882	8593	abhiprArc
17606	5040	abhiprasanna
3892	1101	abhiprasRp
14751	4217	abhiprasRta
5741	1626	abhipratyave
16194	4641	abhiprayAyin
31672	9113	AbhiprAyika
8429	2407	abhiprazvas
27298	7838	abhipretya
10004	2841	abhiprI
398	103	abhipUj
32137	9245	abhipUjita
11740	3347	abhipUraNa
24591	7029	abhipUrya
1655	460	abhiputh
26511	7596	abhipyai
6769	1930	AbhIra
29804	8565	abhirAja
8534	2434	abhIrAjI
12108	3461	abhirakS
19774	5656	abhirAmamaNi
21106	6037	AbhirAmika
32679	9395	abhiras
18318	5243	abhiras
7419	2119	abhirazmimAli
2984	842	abhiroruda
29242	8398	abhiru
9521	2702	abhiruc
6417	1825	abhirucira
4642	1314	abhirudita
21395	6115	abhirudita
18131	5193	abhirUpavat
27691	7951	abhisamAgam
23882	6819	abhisamAyam
