count(B1)	B2
5	1
3	2
6	3
6	4
5	5
1	6
6	7
3	8
1	9
5	10
1	11
4	12
2	13
3	14
4	15
5	16
4	17
5	18
6	19
6	20
6	21
6	22
4	23
6	24
5	25
2	26
2	27
6	28
6	29
1	30
2	31
2	32
4	33
1	34
1	35
5	36
1	37
1	38
5	39
4	40
3	41
1	42
3	43
2	44
2	45
5	46
5	47
3	48
5	49
1	50
5	51
6	52
2	53
5	54
4	55
6	56
2	57
5	58
5	59
6	60
3	61
4	62
3	63
2	64
1	65
4	66
4	67
6	68
3	69
5	70
4	71
4	72
5	73
5	74
6	75
6	76
6	77
1	78
5	79
2	80
2	81
6	82
4	83
5	84
4	85
5	86
6	87
3	88
6	89
2	90
6	91
5	92
6	93
6	94
1	95
3	96
4	97
4	98
3	99
3	100
3	101
2	102
5	103
4	104
5	105
6	106
3	107
5	108
2	109
5	110
3	111
4	112
6	113
1	114
1	115
6	116
3	117
4	118
5	119
3	120
3	121
5	122
4	123
2	124
1	125
2	126
2	127
3	128
4	129
3	130
1	131
4	132
6	133
6	134
3	135
2	136
2	137
2	138
6	139
2	140
6	141
3	142
3	143
2	144
3	145
6	146
4	147
2	148
3	149
6	150
6	151
5	152
2	153
1	154
3	155
2	156
3	157
3	158
6	159
6	160
2	161
5	162
6	163
4	164
6	165
1	166
2	167
2	168
5	169
1	170
1	171
5	172
6	173
2	174
3	175
4	176
6	177
1	178
3	179
2	180
5	181
5	182
3	183
6	184
4	185
4	186
1	187
1	188
2	189
4	190
3	191
2	192
1	193
1	194
6	195
2	196
5	197
2	198
2	199
6	200
3	201
3	202
1	203
1	204
4	205
5	206
6	207
3	208
6	209
3	210
3	211
4	212
3	213
1	214
2	215
1	216
4	217
6	218
1	219
3	220
3	221
3	222
4	223
4	224
6	225
5	226
5	227
6	228
5	229
4	230
5	231
6	232
4	233
5	234
6	235
5	236
3	237
2	238
6	239
6	240
6	241
2	242
4	243
2	244
6	245
4	246
2	247
2	248
3	249
6	250
6	251
4	252
1	253
3	254
5	255
4	256
2	257
2	258
6	259
4	260
4	261
1	262
1	263
5	264
4	265
3	266
6	267
3	268
2	269
4	270
3	271
6	272
3	273
6	274
3	275
4	276
3	277
6	278
3	279
1	280
2	281
3	282
1	283
2	284
6	285
5	286
4	287
4	288
3	289
2	290
2	291
2	292
1	293
5	294
4	295
6	296
3	297
1	298
6	299
6	300
6	301
1	302
6	303
6	304
6	305
5	306
2	307
5	308
2	309
1	310
5	311
3	312
6	313
1	314
6	315
4	316
3	317
2	318
6	319
5	320
5	321
2	322
5	323
6	324
4	325
3	326
6	327
5	328
6	329
5	330
3	331
6	332
4	333
1	334
2	335
2	336
1	337
5	338
1	339
5	340
2	341
6	342
5	343
2	344
6	345
6	346
2	347
1	348
1	349
5	350
3	351
5	352
6	353
4	354
1	355
5	356
2	357
2	358
5	359
1	360
1	361
2	362
3	363
6	364
3	365
3	366
5	367
3	368
1	369
6	370
1	371
2	372
5	373
4	374
3	375
2	376
5	377
1	378
1	379
3	380
1	381
3	382
2	383
1	384
4	385
2	386
2	387
5	388
5	389
2	390
3	391
2	392
2	393
1	394
3	395
2	396
6	397
4	398
6	399
2	400
3	401
2	402
2	403
5	404
3	405
5	406
3	407
5	408
4	409
1	410
3	411
3	412
3	413
5	414
1	415
1	416
5	417
3	418
3	419
1	420
6	421
6	422
1	423
6	424
2	425
4	426
4	427
3	428
2	429
5	430
5	431
2	432
3	433
6	434
1	435
3	436
6	437
1	438
4	439
5	440
5	441
5	442
1	443
4	444
1	445
3	446
2	447
1	448
6	449
6	450
4	451
1	452
6	453
2	454
3	455
2	456
3	457
6	458
4	459
6	460
3	461
5	462
3	463
5	464
3	465
1	466
1	467
6	468
5	469
5	470
5	471
4	472
1	473
6	474
2	475
1	476
5	477
2	478
6	479
4	480
1	481
4	482
1	483
3	484
4	485
5	486
6	487
2	488
2	489
3	490
3	491
2	492
4	493
2	494
1	495
3	496
5	497
